0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:24 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 9650
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 35428
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/6.png HTTP/1.1" 200 34899
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/7.png HTTP/1.1" 200 33394
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/8.png HTTP/1.1" 200 27466
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/10.png HTTP/1.1" 200 63703
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/12.png HTTP/1.1" 200 29428
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/13.png HTTP/1.1" 200 36513
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/14.png HTTP/1.1" 200 56434
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/15.png HTTP/1.1" 200 37883
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/16.png HTTP/1.1" 200 45908
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/17.png HTTP/1.1" 200 45582
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:31 +0530] "GET /frontendp/resources/images/18.png HTTP/1.1" 200 94750
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:34 +0530] "GET /frontendp/all/getproduct/5 HTTP/1.1" 200 5836
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:34 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:34 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:34 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 35428
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:40 +0530] "GET /frontendp/cart/addtocart/5?requestedQuantity=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:41 +0530] "GET /frontendp/cart/getcart HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:41 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:41 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:46 +0530] "GET /frontendp/cart/shippingaddressform HTTP/1.1" 200 4966
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:46 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:46 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:46 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:49 +0530] "POST /frontendp/cart/createorder HTTP/1.1" 200 7815
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:49 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:49 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:49 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 35428
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:57 +0530] "GET /frontendp/j_spring_security_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:57 +0530] "GET /frontendp/logout HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:57 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:57 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:19:57 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/home HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:00 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:06 +0530] "GET /frontendp/all/registrationform HTTP/1.1" 200 8174
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:06 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:06 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:06 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:08 +0530] "GET /frontendp/login HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:08 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:08 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:08 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:14 +0530] "GET /frontendp/all/registrationform HTTP/1.1" 200 8174
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:14 +0530] "GET /frontendp/resources/css/registration.css HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:14 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:14 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/home HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:27 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:31 +0530] "GET /frontendp/aboutus HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:31 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:31 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:20:31 +0530] "GET /frontendp/resources/images/bg3.jpg HTTP/1.1" 200 131027
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:04 +0530] "GET /frontendp/aboutus HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:04 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:04 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:04 +0530] "GET /frontendp/resources/images/bg3.jpg HTTP/1.1" 200 131027
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:04 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:06 +0530] "GET /frontendp/home HTTP/1.1" 200 8029
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:06 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:06 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:06 +0530] "GET /frontendp/resources/images/1.jpg HTTP/1.1" 200 186290
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:06 +0530] "GET /frontendp/resources/images/2.jpg HTTP/1.1" 200 257933
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:07 +0530] "GET /frontendp/resources/images/3.jpg HTTP/1.1" 200 760860
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:07 +0530] "GET /frontendp/resources/images/7.jpg HTTP/1.1" 200 280929
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:07 +0530] "GET /frontendp/resources/images/8.jpg HTTP/1.1" 200 435278
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:07 +0530] "GET /frontendp/resources/images/9.jpg HTTP/1.1" 200 664057
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:07 +0530] "GET /frontendp/resources/images/6.jpg HTTP/1.1" 200 948211
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:09 +0530] "GET /frontendp/login HTTP/1.1" 200 3869
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:09 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:09 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:09 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:55 +0530] "GET /frontendp/login HTTP/1.1" 200 3978
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:55 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:55 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:55 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:24:55 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:23 +0530] "GET /frontendp/login HTTP/1.1" 200 3954
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:23 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:23 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:23 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:23 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:52 +0530] "GET /frontendp/login HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:53 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:53 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:53 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:53 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:55 +0530] "GET /frontendp/login HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:55 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:55 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:55 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:25:55 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:26:36 +0530] "GET /frontendp/login HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:26:36 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:26:36 +0530] "GET /frontendp/resources/images/icon1.png HTTP/1.1" 200 22956
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:26:36 +0530] "GET /frontendp/resources/images/log.jpg HTTP/1.1" 200 123356
0:0:0:0:0:0:0:1 - - [19/Sep/2018:17:26:36 +0530] "GET /frontendp/resources/images/icon2.jpg HTTP/1.1" 200 6275
